Date,Cd,Cu,Fe,Mn,Ni,Pb,Se,Zn,SO4,NO3,OC,EC,Mass
6/22/2001 0:00,0.00254,0.00569,0.0458,0.00341,0.00E+00,0.00737,0.00124,0.125,1.76,1.31,3.25,0.584,21.3
6/22/2001 1:00,0.00248,0.00905,0.183,0.0104,0.0027,0.0117,0.00079,0.143,1.96,1.31,3.25,0.584,28.6
6/22/2001 2:00,0.00164,0.00812,0.0702,0.00698,0.00171,0.016,0.00074,0.094,2.34,1.31,3.25,0.584,21.3
6/22/2001 3:00,0.00238,0.00937,0.326,0.0264,0.00106,0.0485,0.00099,0.152,2.88,1.31,3.25,0.584,23.4
6/22/2001 4:00,0.00107,0.00878,0.0642,0.0181,0.00109,0.0414,0.00179,0.0928,2.88,1.31,3.25,0.584,21.7
6/22/2001 5:00,0.00042,0.0026,0.0232,0.00326,0.00034,0.0151,0.00079,0.036,2.88,1.31,3.25,0.584,12.3
6/22/2001 6:00,0.00038,0.00265,0.0273,0.00183,0.00028,0.00943,0.00059,0.0187,2.88,1.31,3.25,0.584,11.2
6/22/2001 7:00,0.00023,0.00175,0.0193,0.00126,0.00062,0.00636,6.00E-05,0.011,3.65,1.31,3.25,0.584,10.2
6/22/2001 8:00,0.00041,0.00181,0.0233,0.00107,0.00031,0.00553,0.00023,0.0151,3.12,1.31,3.25,0.584,12.3
6/22/2001 11:00,0.00018,0.0025,0.0194,0.00097,0.00021,0.00523,0.00042,0.0138,4.3,1.31,3.25,0.584,12.8
6/22/2001 12:00,0.00042,0.00143,0.0221,0.00112,0.00024,0.00739,0.00035,0.0092,5.29,1.31,3.25,0.584,16.1
6/22/2001 13:00,0.00032,0.00139,0.0214,0.00103,0.00029,0.00831,2.00E-05,0.0141,5.8,1.31,3.25,0.584,15.3
6/22/2001 14:00,0.00012,0.000535,0.0235,0.00098,0.00E+00,0.00468,0.00036,0.0127,5.6,1.31,3.25,0.584,14.3
6/22/2001 15:00,0.00026,0.00125,0.0267,0.0013,0.00033,0.00307,0.00023,0.0166,5.16,1.31,3.25,0.584,14.4
6/22/2001 16:00,0.00033,0.00131,0.0106,0.00112,0.00088,0.00228,5.00E-05,0.0171,3.98,1.31,2.63,0.25,14.3
6/22/2001 17:00,0.00046,0.00116,0.0228,0.00189,0.00054,0.00239,0.00035,0.0096,3.46,1.31,5.36,0.78,17.6
6/22/2001 18:00,0.0005,0.00177,0.0212,0.00208,0.00052,0.00228,0.0005,0.0155,3.85,1.31,6.12,0.25,20.8
6/22/2001 19:00,0.00039,0.00245,0.0361,0.00187,0.00023,0.00622,0.00105,0.0145,4.88,1.31,7.29,0.92,23.7
6/22/2001 20:00,0.00046,0.00813,0.0314,0.00269,0.00024,0.0027,0.00073,0.0314,5.4,1.31,6.42,0.74,22.7
6/22/2001 21:00,0.00033,0.00221,0.0285,0.00175,0.00045,0.00182,0.00072,0.0154,4.9,1.31,5.91,0.88,21.9
6/22/2001 22:00,0.00053,0.00136,0.0256,0.0015,0.00096,0.00132,0.0009,0.0277,4.16,1.31,10.2,0.25,33.1
6/22/2001 23:00,0.00066,0.00321,0.0232,0.00243,0.00115,0.00111,0.00084,0.0157,3.64,1.31,27.8,0.87,65.8
6/23/2001 0:00,2.00E-05,0.00368,0.0228,0.00119,0.00036,0.00096,0.00025,0.0103,3.47,1.31,44.8,0.77,94.6
6/23/2001 1:00,0.00051,0.00321,0.0115,0.00086,0.00E+00,0.00162,0.0005,0.0122,3.46,1.31,41.4,0.85,77.4
